Desc,Type,Code,GLAcctNo,OdooAcctNo,Parent,Notes
Petty Cash - Moravia,Bank and Cash,,100000000,10000,,
Petty Cash - New Butler,Bank and Cash,,100010000,10001,,
Op Acct FCB,Bank and Cash,,102200000,10220,,
COVID19 Checkiing - FCB,Bank and Cash,,102500000,10250,,
Payroll FCB,Bank and Cash,,103300000,10330,,
Svgs Acct FCB,Bank and Cash,,106600000,10660,,
ACH FCB,Bank and Cash,,108800000,10880,,
Accounts Receivable,Receivable,,110000000,11000,,
Sales Clr Acct,Receivable,,111000000,11100,,
Other Receivables,Receivable,,114000000,11400,,
Allowance for Doubtful Acct,Receivable,,115000000,11500,,
Inventory - Finished Goods,Current Assets,,,12001,,
Accessories - Inventory,Current Assets,,120300000,12002,12001,
ATV Accessories - Inventory,Current Assets,,120350000,12003,12001,
Brackets - Inventory,Current Assets,,120400000,12004,12001,
CAC - Inventory,Current Assets,,120100000,12005,12001,
CAC Pipes - Inventory,Current Assets,,120250000,12006,12001,
Enclosures - Inventory,Current Assets,,120030000,12007,12001,
Hardware - Inventory,Current Assets,,120900000,12008,12001,
HEX Cores - Alum - Inventory,Current Assets,,,12009,12001,
HEX Cores - Plate and Bar - Inventory,Current Assets,,,12010,12001,
HEX Weldment - RCP - Inventory,Current Assets,,,12012,12001,
Miscellaneous - Inventory,Current Assets,,,12013,12001,
Molded Hose - Inventory,Current Assets,,120600000,12014,12001,
Oil Coolers - Inventory,Current Assets,,120200000,12015,12001,
Overflow - Inventory,Current Assets,,,12016,12001,
Rad Cores - CuBr - Inventory,Current Assets,,120510000,12017,12001,
Rads - Alum Tube and Fin - Inventory,Current Assets,,120010000,12018,12001,
Rads - CuBr - Inventory,Current Assets,,120000000,12019,12001,
Rads - Plate and Bar - Inventory,Current Assets,,120020000,12020,12001,
Rads - RCP - Inventory,Current Assets,,,12022,12001,
Spooled Hose - Inventory,Current Assets,,120800000,12023,12001,
Tanks - Inventory,Current Assets,,120500000,12024,12001,
SM for ASY - Inventory,Current Assets,,,12025,12001,
Tractor Rads - Inventory,Current Assets,,120050000,,,
Inventory - Raw Matl,Current Assets,,,12051,,
Bar Stock - Inventory,Current Assets,,,12052,12051,
CAC Pipe Steel - Inventory,Current Assets,,,12053,12051,
Packaging - Inventory,Current Assets,,,12054,12051,
Raw Mat'l - Other - Inventory,Current Assets,,,12055,12051,
Sheet Aluminum - Inventory,Current Assets,,,12056,12051,
Sheet Steel - Inventory,Current Assets,,,12057,12051,
Inventory - WIP,Current Assets,,,12071,,
Al Cores - Inventory,Current Assets,,,12072,12071,
Al HEX Components - Inventory,Current Assets,,,12073,12071,
Cast tanks - Inventory,Current Assets,,,12074,12071,
WIP - Other - Inventory,Current Assets,,120950000,12075,12071,
Reuseable Packaging Crates,Fixed Assets,,120960000,,,toMatrix
Consignment Inv Yanmar,Current Assets,,120970000,,,depricate?
Accum Depr - Reuseable Packaging Crates,Non-current Assets,,120980000,,,toMatrix
Consignment Inventory - CK,Current Assets,,120990000,,,depricate?
Contra Asset - JLG Scrap,Non-current Assets,,121000000,,,depricate?
Instapak Adjustment,Current Assets,,125000000,,,toProduct
Purchases Clearing Accrual,,,128000000,12800,,
Cap Frt in Inv,,,128500000,,,toProduct
Obsole Scrap Reserve,Current Assets,,129000000,12900,,
Outside Process,,,129990000,,,depricate?
Prepaid Expenses,Prepayments,,140000000,14000,,
Employee Advances,Prepayments,,141000000,14100,,
Notes Receivable  - Current,Prepayments,,142000000,14200,,
Deposit - Parco 12-31-21,Prepayments,,147000000,14700,,
COBRA Stimulus,Prepayments,,147600000,14760,,
Payroll Receivable - DJR,Prepayments,,147700000,14770,,
Leasehold Improvements,Non-current Assets,2000,,15200,,
Leasehold Improvements - MOR,Non-current Assets,2100,,15201,15200,
Leasehold Improvements - NBR,Non-current Assets,2200,,15202,15200,
Leasehold Improvements - VEL,Non-current Assets,2300,,15203,15200,
Equipment,Non-current Assets,3000,,15300,,
Equipment - SM,Non-current Assets,3110,,15301,15300,
Equipment - MOR_SM_CUT,Non-current Assets,3111,,15302,15300,
Equipment - MOR_SM_OTH,Non-current Assets,3112,,15303,15300,
Equipment - MOR_SM_TUB,Non-current Assets,3113,,15304,15300,
Equipment - VEL_AS_ASY,Non-current Assets,3311,,15305,15300,
Equipment - VEL_AL_ALU,Non-current Assets,3321,,15306,15300,
Equipment - AL_AS,Non-current Assets,3370,,15307,15300,
Equipment - MOR,Non-current Assets,3100,,15308,15300,
Equipment - NBR,Non-current Assets,3200,,15309,15300,
Equipment - VEL,Non-current Assets,3300,,15310,15300,
Equipment - MORwh,Non-current Assets,3180,,15311,15300,
Equipment - NBRwh,Non-current Assets,3280,,15312,15300,
Equipment - VELwh,Non-current Assets,3380,,15313,15300,
Equipment - MORoffice,Non-current Assets,3190,,15314,15300,
Equipment - NBRoffice,Non-current Assets,3290,,15315,15300,
Equipment - VELoffice,Non-current Assets,3390,,15316,15300,
Equipment - Warehouse,Non-current Assets,3980,,15317,15300,
Equipment - Sales,Non-current Assets,3901,,15318,15300,
Equipment - Operations,Non-current Assets,3902,,15319,15300,
Equipment - Engineering,Non-current Assets,3904,,15320,15300,
Equipment - Quality,Non-current Assets,3905,,15321,15300,
Equipment - IT,Non-current Assets,3906,,15322,15300,
Equipment - RandD,Non-current Assets,3949,,15323,15300,
Manufacturing Tooling,Non-current Assets,4000,,15400,,
Manufacturing Tooling - SM,Non-current Assets,4110,,15401,15400,
Manufacturing Tooling - MOR_SM_CUT,Non-current Assets,4111,,15402,15400,
Manufacturing Tooling - MOR_SM_OTH,Non-current Assets,4112,,15403,15400,
Manufacturing Tooling - MOR_SM_TUB,Non-current Assets,4113,,15404,15400,
Manufacturing Tooling - VEL_AS_ASY,Non-current Assets,4311,,15405,15400,
Manufacturing Tooling - VEL_AL_ALU,Non-current Assets,4321,,15406,15400,
Manufacturing Tooling - AL_AS,Non-current Assets,4370,,15407,15400,
Computers and Software,Non-current Assets,5000,,15500,,
Computers and Software - IT,Non-current Assets,5906,,15501,15500,
Furniture and Fixtures,Non-current Assets,6000,,15600,,
Furniture and Fixtures - MOR,Non-current Assets,6100,,15601,15600,
Furniture and Fixtures - NBR,Non-current Assets,6200,,15602,15600,
Furniture and Fixtures - VEL,Non-current Assets,6300,,15603,15600,
Furniture and Fixtures - MORoffice,Non-current Assets,6190,,15604,15600,
Furniture and Fixtures - NBRoffice,Non-current Assets,6290,,15605,15600,
Furniture and Fixtures - VELoffice,Non-current Assets,6390,,15606,15600,
Furniture and Fixtures - RCPsga,Non-current Assets,6900,,15607,15600,
Furniture & Fixtures,Non-current Assets,,150000000,,,toMatrix
Equipment - SGandA,Non-current Assets,,151000000,,,toMatrix
Manuf Equip,Non-current Assets,,151100000,,,toMatrix
Manuf Tooling,Non-current Assets,,151150000,,,toMatrix
Modular Office,Non-current Assets,,151250000,,,toMatrix
R&D Equipment,Non-current Assets,,151300000,,,toMatrix
Leasehold Improvements,Non-current Assets,,151350000,,,toMatrix
Equipment - Computer,Non-current Assets,,151500000,,,toMatrix
Computer Software,Non-current Assets,,151750000,,,toMatrix
Patents,Non-current Assets,,151800000,15180,,
Automobiles,Non-current Assets,,152000000,,,toMatrix
Other Depreciable Property,Non-current Assets,,153000000,,,depricate?
Leasehold Improvements,Non-current Assets,,154000000,,,toMatrix
Building,Non-current Assets,,155000000,,,toMatrix
Building Improvements,Non-current Assets,,156000000,,,toMatrix
Land,Non-current Assets,,169000000,16900,,
Accum Depreciation - Other,Non-current Assets,,173000000,17300,,
Accum Amortization,Non-current Assets,,173500000,17350,,
CSV Life Ins,?,,180000000,,,depricate?
Due from Shareholders,?,,180500000,18050,,
Advance - R Cubed,?,,181000000,18100,,
Advance - RMG,?,,181100000,18110,,
Invest in RCP International Sales Co.,?,,182000000,,,depricate?
Deposits,Current Assets,,190000000,19000,,
Note Receivable - Noncurrent,Non-current Assets,,192000000,19200,,
Other Noncurrent Assets,Non-current Assets,,199000000,19900,,
Accounts Payable,Payable,,200000000,20000,,
Purchases Clearing Account,Current Liabilities,,200030000,20003,,
Duties & Taxes Foreign Freight,Current Liabilities,,200050000,20005,,
"Loan, Payable",Current Liabilities,,220000000,22000,,
Accrued Exp General Product,Current Liabilities,,230000000,23000,,
Accd Fr In Air,Current Liabilities,,230010000,23001,,
Accrd Ocean Frt,Current Liabilities,,230020000,23002,,
Accrued Exp Specific Product,Current Liabilities,,230040000,23004,,
Accd Warranty,Current Liabilities,,230050000,23005,,
Accd Scrap,Current Liabilities,,230100000,23010,,
Acc Scrap Reimb,Current Liabilities,,230110000,23011,,
Accrued Insurance - Prepaids,Current Liabilities,,230150000,23015,,
Accrued Insurance - Audit,Current Liabilities,,230160000,23016,,
Accd Acct Legal,Current Liabilities,,230200000,23020,,
Accd Software,Current Liabilities,,230250000,23025,,
Accrued Interest,Current Liabilities,,230300000,23030,,
SalesTax Payable,Current Liabilities,,231000000,23100,,
Accrued Payroll,Current Liabilities,,232000000,23200,,
Accrued Vacation,Current Liabilities,,232500000,23250,,
Deductions Payable,Current Liabilities,,233000000,23300,,
Federal Payroll Taxes Payable,Current Liabilities,,234000000,23400,,
FUTA Tax Payable,Current Liabilities,,235000000,23500,,
State Payroll Taxes Payable,Current Liabilities,,236000000,23600,,
SUTA Payable,Current Liabilities,,237000000,23700,,
State Unemployment Withholding,Current Liabilities,,237750000,23775,,
Local Payroll Taxes Payable,Current Liabilities,,238000000,23800,,
"City, Occ Tax Payable",Current Liabilities,,238250000,23825,,
401K Deduction Payable,Current Liabilities,,238500000,23850,,
Income Taxes Payable,Current Liabilities,,239000000,23900,,
