AssetID,Desc,DeprYTD,cCode,eCode,ceCode,odooAssetAcctNo,odooExpAcctNo
499,Tru Laser 2030 Fiber,54755.04,3,111,3111,15302,50111
522,TruLaser 3030 Fiber - Upgarde,33535.23,3,111,3111,15302,50111
549,TruBend 5085,22824.24,3,112,3112,15303,50112
502,TruPunch (S18),30041.31,3,111,3111,15302,50111
513,Tu Bend 5085 (B23) SX - Press Breake,22504.52,3,112,3112,15303,50112
548,Robotic Welder - 1902 New Butler Road,15709.63,3,321,3321,15306,50321
547,Robotic Welder - 1902 New Butler Road,15866.73,3,321,3321,15306,50321
550,Vertical Machining Center - Genos M560V,11500.0,3,321,3321,15306,50321
523,TruBend 7036,13417.5,3,112,3112,15303,50112
520,Hines Model 300 CNC Tube Bender,13764.23,3,113,3113,15304,50113
500,Tru Laser - Liftmaster Shuttle,14901.0,3,111,3111,15302,50111
567,"Kitchen, Bathrooms & Hallways - 1902 New Butler",4617.77,2,300,2300,15203,61300
504,TruPunch Sheet Master Compact Basic,9958.69,3,111,3111,15302,50111
374,Office Renovations  Mar & Apr,8869.81,2,200,2200,15202,61200
541,Highway Connector & Parking Lot Drainage- New Butler,844.46,2,200,2200,15202,61200
369,Office Renovation & Roof Replacement Jan & Feb,5855.24,2,300,2300,15203,61300
545,2 Toyota Fork Lifts,6351.14,3,280,3280,15312,79280
572,Robot Laser Sensor System,3918.09,3,321,3321,15306,50321
552,Compressor - 1902 New Butler,5475.67,3,370,3370,15307,50370
627,Shelving - 1900 New Butler,3611.47,3,280,3280,15312,79280
542,Office Furniture - 1902 New Butler,3329.13,6,390,6390,15606,79390
377,Final Office renovations June,2688.33,2,390,2390,15205,79390
563,Equipment Hook up with Conduit to Breaker boxes - 1902 NB,1039.28,2,300,2300,15203,61300
538,Tube End Finishing Machine,3635.63,3,113,3113,15304,50113
525,2 Alum Molds 327-005 & 006,4750.83,4,401,4401,15408,50321
553,2 TIG Welders - New Butler,2520.71,3,321,3321,15306,50321
529,Toyota Small New Butler Lite Assembly,3284.99,3,280,3280,15312,79280
530,Toyota Large New Butler Warehouse,3284.99,3,280,3280,15312,79280
371,Duct Work,1822.92,2,200,2200,15202,61200
554,Laser 3030 Kits,2056.96,3,111,3111,15302,50111
641,Relocation of Mfg Cranes to 1902 New Butler,716.21,2,300,2300,15203,61300
512,Used Forklift for Raw Material - Moravia,3467.71,3,180,3180,15311,79810
519,140 Black Bins,3348.29,3,280,3280,15312,79280
533,Tooling for Tube End Finishing Machine,1975.6,4,113,4113,15404,50113
560,Internal Wiring - 1902 New Butler,622.87,2,300,2300,15203,61300
628,Leak Test Tank Enclosure 1902 New Butler,1489.75,3,370,3370,15307,50370
539,Rebuld old Tube end Finishing machine,1942.86,3,113,3113,15304,50113
372,General Wiring Offices,1305.31,2,200,2200,15202,61200
503,Tank Pads - Moravia - for bulk holding tanks for gas,1414.93,2,111,2111,15204,50111
368,Heating & Air Conditioning,1337.89,2,200,2200,15202,61200
644,Odoo Implementation Hours,3541.67,5,906,5906,15501,75206
543,Exit Signage & Install - 1902 New Butler,1305.95,6,300,6300,15603,61300
558,Leak Test tank Fittings x128 - Start up items,1248.34,4,370,4370,15407,50370
566,Leak Tank Vertical air Receivers x4,1135.81,3,370,3370,15307,50370
546,Large Steel Racking x25,1126.69,3,280,3280,15312,79280
643,Exterior Lighting - 1900 New Butler,384.23,2,200,2200,15202,61200
507,Nitrogen and Oxygen Piping to Laser,963.01,3,111,3111,15302,50111
631,Robot Harness Wiring,975.75,3,321,3321,15306,50321
555,MIG Welder Steel,1049.23,3,112,3112,15303,50112
528,50 black  bins,1192.86,3,180,3180,15311,79810
629,Pneumatic Press,724.29,3,321,3321,15306,50321
510,Punch Tooling - 43 Pieces,1665.61,4,111,4111,15402,50111
531,Pipe Notching Machine,1134.95,3,113,3113,15304,50113
534,Steel Racking -Moravia,1033.22,3,180,3180,15311,79810
514,Press Breake Tooling for New Machine,1440.51,4,112,4112,15403,50112
515,Punch and Die for new Press Breake,1348.97,4,112,4112,15403,50112
