AssetID,Desc,DeprYTD,cCode,cDesc,eCode,eDesc,odooAssetAcctNo,assetAcctDesc,odooExpAcctNo,expAcctDesc
284,Lighting - New Bldg.,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
285,Electrical Wiring New Lighting,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
316,Offices - Lighting Wiring - Labor,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
317,Offices - Walls Lumber - Labor,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
318,Garage Door & Install,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
319,Electrical Wiring New Lighting,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
320,Security System New Butler,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
321,Lighting New Offices,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
322,Electrical Panals New Building,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
323,14 Lighting,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
324,Office Renovations,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
370,"Wiring for lighting, data, & power in new office",0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
375,Wiring of Data and Phone Lines,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
376,Final Electrical work,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
436,Dock Repairs - Moravia,0.0,2,Leasehold Improvements,0,RCPall,15200,Leasehold Improvements,61900,ALL
503,Tank Pads - Moravia - for bulk holding tanks for gas,1414.93,2,Leasehold Improvements,111,MOR_SM_CUT,15204,Leasehold Improvements - MOR_SM_CUT,50111,MOR_SM_CUT
511,"6"" high Chainlink fence around gas tanks - Moravia",264.58,2,Leasehold Improvements,111,MOR_SM_CUT,15204,Leasehold Improvements - MOR_SM_CUT,50111,MOR_SM_CUT
