AssetID,Desc,DeprYTD,Code
499,Tru Laser 2030 Fiber,54755.04,111
522,TruLaser 3030 Fiber - Upgarde,33535.23,111
549,TruBend 5085,22824.24,112
502,TruPunch (S18),30041.31,111
513,Tu Bend 5085 (B23) SX - Press Breake,22504.52,112
548,Robotic Welder - 1902 New Butler Road,15709.63,321
547,Robotic Welder - 1902 New Butler Road,15866.73,321
550,Vertical Machining Center - Genos M560V,11500,321
523,TruBend 7036,13417.5,112
520,Hines Model 300 CNC Tube Bender,13764.23,113
500,Tru Laser - Liftmaster Shuttle,14901,111
567,"Kitchen, Bathrooms & Hallways - 1902 New Butler",4617.77,300
504,TruPunch Sheet Master Compact Basic,9958.69,111
374,Office Renovations  Mar & Apr,8869.81,200
541,Highway Connector & Parking Lot Drainage- New Butler,844.46,200
369,Office Renovation & Roof Replacement Jan & Feb,5855.24,300
545,2 Toyota Fork Lifts,6351.14,280
572,Robot Laser Sensor System,3918.09,321
552,Compressor - 1902 New Butler,5475.67,370
627,Shelving - 1900 New Butler,3611.47,280
542,Office Furniture - 1902 New Butler,3329.13,390
377,Final Office renovations June,2688.33,390
563,Equipment Hook up with Conduit to Breaker boxes - 1902 NB,1039.28,300
538,Tube End Finishing Machine,3635.63,113
525,2 Alum Molds 327-005 & 006,4750.83,401
553,2 TIG Welders - New Butler,2520.71,321
529,Toyota Small New Butler Lite Assembly,3284.99,280
530,Toyota Large New Butler Warehouse,3284.99,280
371,Duct Work,1822.92,200
554,Laser 3030 Kits,2056.96,111
641,Relocation of Mfg Cranes to 1902 New Butler,716.21,300
512,Used Forklift for Raw Material - Moravia,3467.71,180
519,140 Black Bins,3348.29,280
533,Tooling for Tube End Finishing Machine,1975.6,113
560,Internal Wiring - 1902 New Butler,622.87,300
628,Leak Test Tank Enclosure 1902 New Butler,1489.75,370
539,Rebuld old Tube end Finishing machine,1942.86,113
372,General Wiring Offices,1305.31,200
503,Tank Pads - Moravia - for bulk holding tanks for gas,1414.93,111
368,Heating & Air Conditioning,1337.89,200
644,Odoo Implementation Hours,3541.67,501
543,Exit Signage & Install - 1902 New Butler,1305.95,300
558,Leak Test tank Fittings x128 - Start up items,1248.34,370
566,Leak Tank Vertical air Receivers x4,1135.81,370
546,Large Steel Racking x25,1126.69,280
