AssetID,Desc,DeprYTD
000499,Tru Laser 2030 Fiber,54755.04
000522,TruLaser 3030 Fiber - Upgarde,33535.23
000549,TruBend 5085,22824.24
000502,TruPunch (S18),30041.31
000513,Tu Bend 5085 (B23) SX - Press Breake,22504.52
000548,Robotic Welder - 1902 New Butler Road,15709.630000000001
000547,Robotic Welder - 1902 New Butler Road,15866.73
000550,Vertical Machining Center - Genos M560V,11500.0
000523,TruBend 7036,13417.5
000520,Hines Model 300 CNC Tube Bender,13764.23
000500,Tru Laser - Liftmaster Shuttle,14901.0
000567,"Kitchen, Bathrooms & Hallways - 1902 New Butler",4617.77
000504,TruPunch Sheet Master Compact Basic,9958.69
000374,Office Renovations  Mar & Apr,8869.81
000541,Highway Connector & Parking Lot Drainage- New Butler,844.46
000369,Office Renovation & Roof Replacement Jan & Feb,5855.24
000545,2 Toyota Fork Lifts,6351.14
000572,Robot Laser Sensor System,3918.09
000552,Compressor - 1902 New Butler,5475.67
000627,Shelving - 1900 New Butler,3611.4700000000003
000542,Office Furniture - 1902 New Butler,3329.13
000377,Final Office renovations June,2688.33
000563,Equipment Hook up with Conduit to Breaker boxes - 1902 NB,1039.28
000538,Tube End Finishing Machine,3635.63
000525,2 Alum Molds 327-005 & 006,4750.83
000553,2 TIG Welders - New Butler,2520.71
000529,Toyota Small New Butler Lite Assembly,3284.9900000000002
000530,Toyota Large New Butler Warehouse,3284.9900000000002
000371,Duct Work,1822.92
000554,Laser 3030 Kits,2056.96
000641,Relocation of Mfg Cranes to 1902 New Butler,716.21
000512,Used Forklift for Raw Material - Moravia,3467.71
000519,140 Black Bins,3348.29
000533,Tooling for Tube End Finishing Machine,1975.6000000000001
000560,Internal Wiring - 1902 New Butler,622.87
000628,Leak Test Tank Enclosure 1902 New Butler,1489.75
000539,Rebuld old Tube end Finishing machine,1942.8600000000001
000372,General Wiring Offices,1305.31
000503,Tank Pads - Moravia - for bulk holding tanks for gas,1414.93
000368,Heating & Air Conditioning,1337.89
000644,Odoo Implementation Hours,3541.67
000543,Exit Signage & Install - 1902 New Butler,1305.95
000558,Leak Test tank Fittings x128 - Start up items,1248.34
000566,Leak Tank Vertical air Receivers x4,1135.81
000546,Large Steel Racking x25,1126.69
000643,Exterior Lighting - 1900 New Butler,384.23
000507,Nitrogen and Oxygen Piping to Laser,963.01
000631,Robot Harness Wiring,975.75
000555,MIG Welder Steel,1049.23
000528,50 black  bins,1192.8600000000001
000629,Pneumatic Press,724.29
000510,Punch Tooling - 43 Pieces,1665.6100000000001
000531,Pipe Notching Machine,1134.95
000534,Steel Racking -Moravia,1033.22
000514,Press Breake Tooling for New Machine,1440.51
000515,Punch and Die for new Press Breake,1348.97
000498,40 Manufacturing Carts - New Butler,2002.9
000508,Deliver TruPunch,560.0
000532,Punch Tooling,884.9300000000001
000537,30 Black Bins,728.0500000000001
000536,25 Wire Containers,724.96
000544,Steel Racking x25,615.86
000527,Tru Tool - TSC 100,919.57
000516,Cabinet for new Press Breake Tooling,469.0
000638,6 Cylinders Leak Test Tank Auto Project,487.41
000373,Office Front Glass Work,460.73
000509,Punch Tooling - 16 Pieces,1103.83
000571,5 Engineering Computers,2199.5
000526,Brake Tooling - 1 Punch & 1 Die,844.11
000540,Tooling for Tub end finishing machine,560.0
000637,3 computers for inventory control,664.74
000630,Servometer - 2000 Punch,392.78000000000003
000561,Argon Extensions & Drops Install,400.0
000562,Breaker Box Rewiring - 1902 New Butler,147.43
000633,3 printers for non alum line,618.19
000501,2 Manifolds 260 Brass High Flow for New Laser,340.8
000565,Gorbel Free Standing Crane - 1902 New Butler,321.37
000551,Steel Hoppers x2,358.66
000559,Punch Tooling,297.07
000511,"6"" high Chainlink fence around gas tanks - Moravia",264.58
000639,Leak Test Tank Fittings - 70 Eng Samples,1331.58
000636,2 computers for inventory,409.95
000506,Additional Prep work around Tank pads for gas tanks,253.52
000634,4 computers for inventory process control,391.28000000000003
000564,Surface Pro - Jen P,404.09000000000003
000632,2510 & 3030 Laser Punch Parts,211.43
000635,Amazon Computers new leak test tank,342.77
000535,Bench Scale - New Butler,300.74
000642,Sprinkler System - 1902 New Butler,76.06
000556,Metal Cutting Band Saw,182.29
