GLAcctKey,GLAcctNo,Description,Total
261,500000000,Rads - Copper Brass-COGS,4114805.224
417,500010000,Rads - Aluminium - COGS,-6324.75
418,500030000,Enclosures - COGS,130077.491
263,500100000,CAC-COGS,26130.186
264,500200000,Oil Coolers-COGS,64589.75
265,500250000,CAC Pipes-COGS,113235.979
266,500300000,Accessories-COGS,281746.606
267,500400000,Bracket Kits-COGS,555570.18
268,500500000,Tanks-COGS,195930.868
269,500600000,Molded Hose-COGS,224428.588
271,500800000,Spooled Hose-COGS,8407.87
272,500900000,Hardware-COGS,9226.88
274,504500000,Tooling - COGS,16690.38
276,504600000,Labor - COGS,79196.33
896,504650000,Manuf Gas - COGS,43969.18
898,504700000,Manf Repairs CGS,7710.81
277,505000000,Supplies - COS,84395.62
278,505500000,COGS-Service Fee - JD,50774.43
983,505510000,COGS-Service Fee - Yanmar,36453.42
396,511000000,Purchase Price Variance,9975.355
430,513000000,Assembly-Labor Abs,-381216.53
830,513500000,Abs-Fixed Run,-84783.13
831,513600000,Abs-Var Run,-441143.2
832,513700000,Abs-Fixed Setup,-5970.97
833,513800000,Abs- Var Setup,-33759.35
449,520000000,Freight Absorption,-482712.69
854,520050000,Fixed Cap Abs,350000
280,570000000,COGS-Salary - Mfg,483957.09
998,570010000,COS Salary - Assembly,205777.25
837,571000000,COGS-Payroll Taxes,60702.14
875,571250000,CGS Bene Health,85394.58
852,571500000,COGS Benefits,18982.74
281,575000000,Freight In - COGS,28876.59
283,575020000,"Freight In, Ocean",411455.09
406,599010000,Misc Adj COGS,70920.519
327,690000000,Legal & Professional Expense,564
328,690010000,Accountant Fees,55840
874,690050000,ISO Cert Main & Quality,9453.78
329,691000000,Lawn Care & Snow Removal,1040
332,705000000,Maintenance Expense,7032.48
333,706000000,"Maintenance, Software",38870.82
334,710000000,Meals & Entertainment Expense,9782.31
645,710001000,Meals & Ent Exp-Sales,747.43
337,712500000,Miscellaneous Expense,2061.2
338,715000000,Office Expense,14761.47
339,720000000,Payroll Tax Expense,54336.84
661,720001000,Payroll Tax Exp-Sales,11458.55
664,720004000,Payroll Tax Exp-Engineering,27574.64
341,720040000,"City, Mercantile Tax",1166.69
342,721000000,"City Tax, Moravia Building",6825
922,721100000,Town Tax - New Butler Road,1925
985,721200000,"Town Tax, 1902 New Butler",1050
343,722000000,"City School Tax, Moravia Bldg",7875
923,722100000,School Tax - New Butler Road,7350
986,722200000,"School Tax, 1902 New Butler",3850
344,723000000,"County Tax, Moravia Bldg",4200
924,723100000,County Tax - New Butler Road,4900
987,723200000,"County Tax, 1902 New Butler",2625
345,724000000,PA Sales Tax,2505.26
347,730000000,Other Taxes,-125.72
348,740000000,Postage Expense,1659.58
349,745000000,Rent or Lease Expense,25325.51
350,745100000,"Lease, Building",119000
857,745150000,COS Fix Cap Abs,-350000
351,745200000,"Rental, Mats",1454.93
455,745300000,Ware Trk Lease,12435.41
912,745350000,Management Fee Exp,7000
847,745400000,Operating Leasehold Improvements,0
352,750000000,Repairs Expense,11577.87
353,751000000,Research & Development,30864.24
749,751004000,R & D-Engineering,0
354,755000000,Travel,17482.08
669,755001000,Travel-Sales,1255.56
357,760100000,Subcontractor - Cleaning,9765
364,765000000,Office Supplies,15813.23
366,775000000,Wages Expense,658484.25
685,775001000,Wages Exp-Sales,136869.22
855,775004000,Wages Exp-Engineering,327891.45
368,780010000,Telephone Expense,38010.2
369,780020000,"Utilities, Water",10017.17
370,780030000,"Utilities, Electric",62640.06
372,780040000,"Utilities, Gas",14807.41
373,780050000,"Utilities, Sanitation",3624.44
374,780100000,Security System,676.8
375,790000000,Warehouse Supplies,71641.15
376,795000000,Warehouse Expense,18513.38
820,795100000,Warehouse Gas,4131.18
377,796000000,Warranty on Equipment,1600
834,999980000,Mfg Variance,0
382,999990000,Temporary Account,0
