,AssetID,Desc,DeprYTD,Code
0,000499,Tru Laser 2030 Fiber,54755.04,111
1,000522,TruLaser 3030 Fiber - Upgarde,33535.23,111
2,000549,TruBend 5085,22824.24,112
3,000502,TruPunch (S18),30041.31,111
4,000513,Tu Bend 5085 (B23) SX - Press Breake,22504.52,112
5,000548,Robotic Welder - 1902 New Butler Road,15709.63,321
6,000547,Robotic Welder - 1902 New Butler Road,15866.73,321
7,000550,Vertical Machining Center - Genos M560V,11500.0,321
8,000523,TruBend 7036,13417.5,112
9,000520,Hines Model 300 CNC Tube Bender,13764.23,113
10,000500,Tru Laser - Liftmaster Shuttle,14901.0,111
11,000567,"Kitchen, Bathrooms & Hallways - 1902 New Butler",4617.77,300
12,000504,TruPunch Sheet Master Compact Basic,9958.69,111
13,000374,Office Renovations  Mar & Apr,8869.81,200
14,000541,Highway Connector & Parking Lot Drainage- New Butler,844.46,200
15,000369,Office Renovation & Roof Replacement Jan & Feb,5855.24,300
16,000545,2 Toyota Fork Lifts,6351.14,280
17,000572,Robot Laser Sensor System,3918.09,321
18,000552,Compressor - 1902 New Butler,5475.67,370
19,000627,Shelving - 1900 New Butler,3611.47,280
20,000542,Office Furniture - 1902 New Butler,3329.13,390
21,000377,Final Office renovations June,2688.33,390
22,000563,Equipment Hook up with Conduit to Breaker boxes - 1902 NB,1039.28,300
23,000538,Tube End Finishing Machine,3635.63,113
24,000525,2 Alum Molds 327-005 & 006,4750.83,401
25,000553,2 TIG Welders - New Butler,2520.71,321
26,000529,Toyota Small New Butler Lite Assembly,3284.99,280
27,000530,Toyota Large New Butler Warehouse,3284.99,280
28,000371,Duct Work,1822.92,200
29,000554,Laser 3030 Kits,2056.96,111
30,000641,Relocation of Mfg Cranes to 1902 New Butler,716.21,300
31,000512,Used Forklift for Raw Material - Moravia,3467.71,180
32,000519,140 Black Bins,3348.29,280
33,000533,Tooling for Tube End Finishing Machine,1975.6,113
34,000560,Internal Wiring - 1902 New Butler,622.87,300
35,000628,Leak Test Tank Enclosure 1902 New Butler,1489.75,370
36,000539,Rebuld old Tube end Finishing machine,1942.86,113
37,000372,General Wiring Offices,1305.31,200
38,000503,Tank Pads - Moravia - for bulk holding tanks for gas,1414.93,111
39,000368,Heating & Air Conditioning,1337.89,200
40,000644,Odoo Implementation Hours,3541.67,501
41,000543,Exit Signage & Install - 1902 New Butler,1305.95,300
42,000558,Leak Test tank Fittings x128 - Start up items,1248.34,370
43,000566,Leak Tank Vertical air Receivers x4,1135.81,370
44,000546,Large Steel Racking x25,1126.69,280
45,000643,Exterior Lighting - 1900 New Butler,384.23,200
46,000507,Nitrogen and Oxygen Piping to Laser,963.01,111
47,000631,Robot Harness Wiring,975.75,321
48,000555,MIG Welder Steel,1049.23,112
49,000528,50 black  bins,1192.86,180
50,000629,Pneumatic Press,724.29,321
51,000510,Punch Tooling - 43 Pieces,1665.61,111
52,000531,Pipe Notching Machine,1134.95,113
53,000534,Steel Racking -Moravia,1033.22,180
54,000514,Press Breake Tooling for New Machine,1440.51,112
55,000515,Punch and Die for new Press Breake,1348.97,112
56,000498,40 Manufacturing Carts - New Butler,2002.9,311
57,000508,Deliver TruPunch,560.0,111
58,000532,Punch Tooling,884.9300000000001,111
59,000537,30 Black Bins,728.0500000000001,280
60,000536,25 Wire Containers,724.96,280
61,000544,Steel Racking x25,615.86,180
62,000527,Tru Tool - TSC 100,919.57,112
63,000516,Cabinet for new Press Breake Tooling,469.0,112
64,000638,6 Cylinders Leak Test Tank Auto Project,487.41,370
65,000373,Office Front Glass Work,460.73,200
66,000509,Punch Tooling - 16 Pieces,1103.83,111
67,000571,5 Engineering Computers,2199.5,900
68,000526,Brake Tooling - 1 Punch & 1 Die,844.11,112
69,000540,Tooling for Tub end finishing machine,560.0,113
70,000637,3 computers for inventory control,664.74,900
71,000630,Servometer - 2000 Punch,392.78,111
72,000561,Argon Extensions & Drops Install,400.0,321
73,000562,Breaker Box Rewiring - 1902 New Butler,147.43,300
74,000633,3 printers for non alum line,618.19,900
75,000501,2 Manifolds 260 Brass High Flow for New Laser,340.8,111
76,000565,Gorbel Free Standing Crane - 1902 New Butler,321.37,311
77,000551,Steel Hoppers x2,358.66,380
78,000559,Punch Tooling,297.07,112
79,000511,"6"" high Chainlink fence around gas tanks - Moravia",264.58,111
80,000639,Leak Test Tank Fittings - 70 Eng Samples,1331.58,370
81,000636,2 computers for inventory,409.95,900
82,000506,Additional Prep work around Tank pads for gas tanks,253.52,111
83,000634,4 computers for inventory process control,391.28,900
84,000564,Surface Pro - Jen P,404.09,900
85,000632,2510 & 3030 Laser Punch Parts,211.43,111
86,000635,Amazon Computers new leak test tank,342.77,370
87,000535,Bench Scale - New Butler,300.74,311
88,000642,Sprinkler System - 1902 New Butler,76.06,300
89,000556,Metal Cutting Band Saw,182.29,113
90,000487,Security Cameras - Moravia & New Butler,1339.55,290
91,000557,Torque Tester,157.89,311
92,000521,Hand Held Plasma Cutter,283.38,112
93,000495,Lincoln Welder from Velocity Building,357.14,321
94,000524,Punch Tooling - Extrusion Assembly,150.08,111
95,000489,Pipe Bending Tooling,652.94,113
96,000493,2 Mold Cylinders - Ritter Technology LLC,336.83,401
97,000490,2 Mold Cylinders,322.8,401
98,000488,2 Mold Cylinders,322.8,401
99,000640,Punch Tooling,1110.97,111
100,000485,Oil Pump for Machine Maintenance,250.44,110
101,000482,2 Mold Cylinders,322.8,401
102,000483,2 Mold Cylinders,322.8,401
103,000484,Welder Arm,172.33,321
104,000029,Dell Computer Hardware,0.0,0
105,000044,Computer Equipment,0.0,0
106,000057,Forklift,0.0,0
107,000062,Warehouse Tools,0.0,0
108,000064,Color Plates Wide,0.0,0
109,000065,Color Plate Wide,0.0,0
110,000066,Shrinkwrap Machine,0.0,0
111,000067,Forklift Attachment,0.0,0
112,000068,Warehouse Shelving,0.0,0
113,000069,Band Saw,0.0,0
114,000070,Warehouse Tools,0.0,0
115,000071,Test Plug Equipment,0.0,0
116,000072,Refrigerator / Grille / Sander / Wet Vac,0.0,0
117,000073,Radiator Test Equipment,0.0,0
118,000074,Air Compressor,0.0,0
119,000076,Test Tank Equipment,0.0,0
120,000077,Load Binders,0.0,0
121,000079,Nissan Forklift,0.0,0
122,000080,Equipment,0.0,0
123,000081,HVAC for modular office,0.0,0
124,000083,Platforms,0.0,0
125,000084,Crane with Hoist Trolley,0.0,0
126,000087,Forklift,0.0,0
127,000088,Stretch Wrap Machine,0.0,0
128,000089,Instapak Machine,0.0,0
129,000090,Nissan CF40LP Forklift,0.0,0
130,000092,Scale & Zebra Printer,0.0,0
131,000093,TIG Welder & Accessories,0.0,0
132,000094,Nissan CF40LP Forklift,0.0,0
133,000095,Chain Link Fence - Outside,0.0,0
134,000096,Pallet Pal w/ Rotator Top,0.0,0
135,000097,Air Compressor,0.0,0
136,000098,Time Clock-Hand Punch,0.0,0
137,000099,Slear,0.0,0
138,000100,Punch,0.0,0
139,000101,Press Break,0.0,0
140,000102,Press Break 2,0.0,0
141,000103,Heager Press 1,0.0,0
142,000104,Collap Bins,0.0,0
143,000106,Pallet Stands,0.0,0
144,000107,Workstation Crane,0.0,0
145,000108,Assembly Area,0.0,0
146,000110,Nelson Wire Mesh Baskets,0.0,0
147,000111,Cabinets,0.0,0
148,000112,Racks,0.0,0
149,000114,Hoppers,0.0,0
150,000118,Bookcase,0.0,0
151,000119,Office Furniture,0.0,0
152,000120,Warehouse Shelving,0.0,0
153,000121,Table Bins,0.0,0
154,000122,Bookcase,0.0,0
155,000123,Trade Show Booth,0.0,0
156,000124,Lateral File Cabinets,0.0,0
157,000125,Office Furniture & Desks,0.0,0
158,000126,Safes,0.0,0
159,000128,Office Furniture,0.0,0
160,000129,Warehouse Shelving,0.0,0
161,000130,Lateral File Cabinets,0.0,0
162,000131,Window Head Rails,0.0,0
163,000132,Warehouse Lockers,0.0,0
164,000133,Office Furniture,0.0,0
165,000134,Warehouse Shelving,0.0,0
166,000135,Office Furniture,0.0,0
167,000136,Warehouse shelving,0.0,0
168,000137,Warehouse Shelving,0.0,0
169,000138,Office Furniture,0.0,0
170,000139,Desks,0.0,0
171,000140,Cubicles,0.0,0
172,000141,Warehouse Lighting,0.0,0
173,000142,Warehouse Shelving,0.0,0
174,000143,Office Furniture,0.0,0
175,000144,Warehouse Shelving,0.0,0
176,000145,Warehouse Bins,0.0,0
177,000146,Warehouse Shelving,0.0,0
178,000147,Warehouse Bins,0.0,0
179,000148,Warehouse Shelving,0.0,0
180,000149,Cubicles,0.0,0
181,000150,Tables & Chairs - Carla's Office,0.0,0
182,000151,Nicki's Desk & Work Space,0.0,0
