GLAcctKey,GLAcctNo,Description,Total
261,500000000,Rads - Copper Brass-COGS,4147482
267,500400000,Bracket Kits-COGS,555644
283,575020000,"Freight In, Ocean",297200
266,500300000,Accessories-COGS,286519
269,500600000,Molded Hose-COGS,229754
268,500500000,Tanks-COGS,195082
418,500030000,Enclosures - COGS,130496
350,745100000,"Lease, Building",119000
875,571250000,CGS Bene Health,113491
265,500250000,CAC Pipes-COGS,113235
277,505000000,Supplies - COS,86410
276,504600000,Labor - COGS,72196
370,780030000,"Utilities, Electric",71146
406,599010000,Misc Adj COGS,70920
328,690010000,Accountant Fees,69651
264,500200000,Oil Coolers-COGS,64590
375,790000000,Warehouse Supplies,53350
278,505500000,COGS-Service Fee - JD,52871
896,504650000,Manuf Gas - COGS,41454
983,505510000,COGS-Service Fee - Yanmar,38465
368,780010000,Telephone Expense,35251
364,765000000,Office Supplies,34494
281,575000000,Freight In - COGS,33544
338,715000000,Office Expense,30335
353,751000000,Research & Development,28141
263,500100000,CAC-COGS,26130
349,745000000,Rent or Lease Expense,19492
376,795000000,Warehouse Expense,18526
354,755000000,Travel,17605
274,504500000,Tooling - COGS,16563
372,780040000,"Utilities, Gas",12858
455,745300000,Ware Trk Lease,12448
396,511000000,Purchase Price Variance,11135
369,780020000,"Utilities, Water",10017
357,760100000,Subcontractor - Cleaning,9765
334,710000000,Meals & Entertainment Expense,9686
272,500900000,Hardware-COGS,9368
271,500800000,Spooled Hose-COGS,8726
898,504700000,Manf Repairs CGS,7868
874,690050000,ISO Cert Main & Quality,7532
352,750000000,Repairs Expense,7392
912,745350000,Management Fee Exp,7000
834,999980000,Mfg Variance,6935
847,745400000,Operating Leasehold Improvements,5144
332,705000000,Maintenance Expense,5057
820,795100000,Warehouse Gas,4411
373,780050000,"Utilities, Sanitation",3544
345,724000000,PA Sales Tax,2505
377,796000000,Warranty on Equipment,1600
351,745200000,"Rental, Mats",1329
337,712500000,Miscellaneous Expense,1291
669,755001000,Travel-Sales,1256
329,691000000,Lawn Care & Snow Removal,1040
645,710001000,Meals & Ent Exp-Sales,747
374,780100000,Security System,677
327,690000000,Legal & Professional Expense,564
348,740000000,Postage Expense,397
749,751004000,R & D-Engineering,0
347,730000000,Other Taxes,-126
832,513700000,Abs-Fixed Setup,-5967
417,500010000,Rads - Aluminium - COGS,-6126
382,999990000,Temporary Account,-29845
833,513800000,Abs- Var Setup,-33735
830,513500000,Abs-Fixed Run,-84741
430,513000000,Assembly-Labor Abs,-381036
831,513600000,Abs-Var Run,-440900
449,520000000,Freight Absorption,-482713
