Code,Desc,Children,Basis,Parent
-10,IntMoves,,,
-5,IncludedInTaxSection,,,
-2,ContraRevenue,,,
-1,Product,,,
0,RCPall,"[111, 112, 113, 311, 321, 180, 190, 280, 290, 380, 390]",area,
1,RCPman,"[111, 112, 113, 311, 321]",equal,
2,ManEmployee,"[111, 112, 113, 311, 321]",headCount,
3,ExpTooling,"[-1, 111, 113, 321]",.251 .514 .033 .203,
4,ExpGas,"[111, 321, 900]",50 25 25,
5,ExpRepair,"[111, 900]",1 3,
6,ExpSupplies,"[111, 112, 311]",33 17 48,
100,MOR,"[111, 112, 113, 180, 190]",area,
110,SM,"[111, 112, 113]",equal,
111,MOR_SM_CUT,,,
112,MOR_SM_OTH,,,
180,MORwh,,,900
190,MORoffice,,,900
200,NBR,"[280, 290]",area,
280,NBRwh,,,900
290,NBRoffice,,,900
300,VEL,"[311, 321, 380, 390]",area,
311,VEL_AS_ASY,,,
321,VEL_AL_ALU,,,
370,AL_AS,"[311, 321]",1 1,
380,VELwh,,,900
390,VELoffice,,,900
401,Molds,,,321
501,Odoo,,,900
900,RCPsga,,,
910,Sales,,,900
920,Operations,,,900
930,Quality,,,900
940,Engineering,,,900
949,RandD,,,900
980,Warehouse,,,900
