Code,Desc
-10,IntMoves
-5,IncludedInTaxSection
-2,ContraRevenue
-1,Product
0,RCPall
1,RCPman
2,ManEmployee
3,ExpTooling
4,ExpGas
5,ExpRepair
6,ExpSupplies
100,MOR
110,SM
111,MOR_SM_CUT
112,MOR_SM_OTH
113,MOR_SM_TUB
180,MORwh
190,MORoffice
200,NBR
280,NBRwh
290,NBRoffice
300,VEL
310,AS
311,VEL_AS_ASY
320,AL
321,VEL_AL_ALU
370,AL_AS
380,VELwh
390,VELoffice
401,Molds
501,Odoo
900,RCPsga
901,Sales
902,Operations
903,Shipping 
904,Engineering
905,Quality
906,IT
910,Sales
920,Operations
930,Quality
940,Engineering
949,RandD
980,Warehouse
