GLAcctNo,Code
500000000,-1
500400000,-1
575020000,-1
500300000,-1
500600000,-1
500500000,-1
500030000,-1
745100000,0
571250000,2
500250000,-1
505000000,6
504600000,2
780030000,0
599010000,-10
690010000,900
500200000,-1
790000000,980
505500000,-2
504650000,4
505510000,-2
780010000,900
765000000,900
575000000,-1
715000000,900
751000000,900
500100000,-1
745000000,0
795000000,980
755000000,900
504500000,3
780040000,0
745300000,980
511000000,-1
780020000,0
760100000,900
710000000,900
500900000,-1
500800000,-1
504700000,5
690050000,930
750000000,0
745350000,900
999980000,-10
745400000,0
705000000,900
795100000,980
780050000,0
724000000,-2
796000000,900
745200000,0
712500000,0
755001000,910
691000000,0
710001000,910
780100000,0
690000000,900
740000000,900
751004000,949
730000000,0
513700000,-10
500010000,-1
999990000,-1
513800000,-10
513500000,-10
513000000,-10
513600000,-10
520000000,-1
775000000,900
570000000,2
520050000,-10
775004000,900
570010000,2
775001000,900
571000000,2
720000000,900
706000000,900
720004000,900
571500000,2
720001000,900
722000000,-5
722100000,-5
721000000,-5
723100000,-5
723000000,-5
722200000,-5
723200000,-5
721100000,-5
720040000,-5
721200000,-5
745150000,-10
